name	dataaddr	tableaddr	sizey	sizex	type	category
Exhaust Duty Correction AC Adjust A	12630c	c2ad4	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction AC Adjust B	1262bc	c2ac0	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction BD Adjust A	1263ac	c2afc	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction BD Adjust B	12635c	c2ae8	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction EF Adjust	1263fc	c2b10	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction E Adjust	126414	c2b24	2		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction F Adjust	126420	c2b38	2		2D	Variable Valve Timing (AVCS)
Minimum Port Injection Quantity	10de34	10de34	1		2D	Fueling - Port Injectors
Fuel Injection Ratio ECT Threshold A	10de64	10de64	2		2D	Fueling - Injector Ratio
Low Pulse Width Fuel Injector Compensation	10f358		8		2D	Fueling - Port Injectors
Low Pulse Width Fuel Injector Compensation Maximum RPM	10e500		1		2D	Fueling - Port Injectors
Low Pulse Width Fuel Injector Compensation Maximum IPW	10e504		1		2D	Fueling - Port Injectors
Overrun Fueling RPM Resume Threshold	110e38		16		2D	Fueling - Overrun
Overrun Enrich RPM Delta Activation	10e530	10e530	1		2D	Fueling - Overrun
Overrun initial injector enrichment (pulsewidth)	10e534		1		2D	Fueling - Overrun
Overrun Fueling Cut Counter RPM Threshold	10e5c8	10e5c8	5		2D	Fueling - Overrun
Hotstart Enrichment Decay Delay	10dc26	10dc26	1		2D	Fueling - Hotstart Enrichment
Hotstart Enrichment Decay Step	10e364	10e364	1		2D	Fueling - Hotstart Enrichment
Initial Hotstart Enrichment (High)	10e350		1		2D	Fueling - Hotstart Enrichment
Hotstart High Enrichment Activation Threshold (Coolant Temperature)	10e340		1		2D	Fueling - Hotstart Enrichment
Hotstart High Enrichment Activation Threshold (Intake Air Temperature)	10e344		1		2D	Fueling - Hotstart Enrichment
Initial Hotstart Enrichment (Low)	10e354		1		2D	Fueling - Hotstart Enrichment
Hotstart Low Enrichment Activation Threshold (Coolant Temperature)	10e348		1		2D	Fueling - Hotstart Enrichment
Maximum Non-Idle Hotstart Enrichment (Post Delay)	10e368		1		2D	Fueling - Hotstart Enrichment
Hotstart Minimum Enrichment Limit Runtime	10dc28	10dc28	1		2D	Fueling - Hotstart Enrichment
Hotstart Minimum Enrichment (During Delay and Runtime)	10e360		1		2D	Fueling - Hotstart Enrichment
A/F #3 CL Target Compensation Limits	64700		2		2D	Fueling - AF Correction / Learning
A/F #3 Correction Limits	65084		2		2D	Fueling - AF Correction / Learning
Launch Control Disable Speed			1		2D	Launch Control/FFS
Launch Control RPM Delta			1		2D	Launch Control/FFS
Flat-Foot Shift RPM Delta			1		2D	Launch Control/FFS
CL Fueling Target Compensation (Load)			10	13	3D	Fueling - Closed Loop
CL Fueling Target Compensation (Load)(MT)			10	13	3D	Fueling - Closed Loop
CL Fueling Target Compensation (Load)(AT)			10	13	3D	Fueling - Closed Loop
CL Fueling Target Compensation C (Load)			11	11	3D	Fueling - Closed Loop
CL Fueling Target Compensation D (Load)			11	11	3D	Fueling - Closed Loop
CL Fueling Target Compensation Imm. Cruise (ECT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation Imm. Non-Cruise (ECT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation (ECT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation A (ECT)(MT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation A (ECT)(AT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation B (ECT)(MT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation B (ECT)(AT)			3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation (ECT) 			16		2D	Fueling - Closed Loop
CL to OL Delay			9		2D	Fueling - CL/OL Transition
CL to OL Delay 			1		2D	Fueling - CL/OL Transition
CL to OL Delay/Switch SI-DRIVE Intelligent			1		2D	Fueling - CL/OL Transition
CL to OL Delay (Atm. Pressure)			7		2D	Fueling - CL/OL Transition
CL to OL Delay A (Atm. Pressure)			7		2D	Fueling - CL/OL Transition
CL to OL Delay B (Atm. Pressure)			7		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay (Throttle)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay (Accelerator)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay A (Throttle)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay B (Throttle)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay C (Throttle)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay Throttle Hysteresis			1		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay A (Base Pulse Width)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay B (Base Pulse Width)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay C (Base Pulse Width)			16		2D	Fueling - CL/OL Transition
CL to OL Transition with Delay BPW Hysteresis			1		2D	Fueling - CL/OL Transition
CL to OL Transition Counter Step Value (MAF)			10		2D	Fueling - CL/OL Transition
CL Delay Period			3		2D	Fueling - CL/OL Transition
CL Delay Maximum (EGT)			2		2D	Fueling - CL/OL Transition
CL Delay Maximum (Throttle)			1		2D	Fueling - CL/OL Transition
CL Maximum Vehicle Speed			2		2D	Fueling - CL/OL Transition
CL Delay Minimum (ECT)			1		2D	Fueling - CL/OL Transition
CL Delay Maximum (Engine Load)			2		2D	Fueling - CL/OL Transition
CL Delay Engine Load Counter Threshold			1		2D	Fueling - CL/OL Transition
CL Delay Maximum Engine Speed (Per Gear)(MT)			10		2D	Fueling - CL/OL Transition
CL Delay Maximum Engine Speed (Per Gear)(AT)			10		2D	Fueling - CL/OL Transition
CL Delay Maximum Engine Speed (Neutral)			2		2D	Fueling - CL/OL Transition
CL Delay Maximum Engine Speed A			2		2D	Fueling - CL/OL Transition
CL Delay Maximum Engine Speed B			1		2D	Fueling - CL/OL Transition
CL Delay Engine Speed B Counter Threshold			1		2D	Fueling - CL/OL Transition
CL Delay Maximum (Throttle) A			1		2D	Fueling - CL/OL Transition
CL Delay Throttle A Counter Threshold			1		2D	Fueling - CL/OL Transition
CL Delay Maximum (Throttle) B (ECT)			16		2D	Fueling - CL/OL Transition
CL Delay Throttle Atm. Pressure Thresholds			2		2D	Fueling - CL/OL Transition
