"Name","Location","Code Unit"
"Idle_Speed_Target_J","000c1440","2dmtable "
"Idle_Speed_Target_K","000c1454","2dmtable "
"Idle_Speed_Target_L","000c1468","2dmtable "
"Idle_Speed_Stability_Additive_table","000c1490","2dmtable "
"Desired_Overrun_Mass_Airflow_A_table","000c18c4","3dmtable "
"Desired_Overrun_Mass_Airflow_C_table","000c18e0","3dmtable "
"Desired_Overrun_Mass_Airflow_B_table","000c18fc","3dmtable "
"Idle_Speed_Stability_A_table","000c196c","3dmtable "
"Idle_Speed_Stability_B_table","000c1988","3dmtable "
"MAF_Correction_After_Start_Neutral","000c1af8","3dmtable "
"MAF_Correction_After_Start_In_Gear","000c1b14","3dmtable "
"Idle_Throttle_Target_B","000c1d5c","2dmtable "
"Idle_Throttle_Target_C","000c1d70","2dmtable "
"Idle_Throttle_Target_For_Airflow","000c1d90","2dtable "
"Requested_Torque_B","000c1e98","3dmtable "
"Idle_Throttle_Target_D","000c1ffc","2dmtable "
"Knock_Sensor_Calibration","000c257c","2dmtable "
"Coolant_Temp_Sensor_Scaling","000c2590","2dtable "
"Intake_Temp_Sensor_Scaling","000c259c","2dtable "
"MAF_Sensor_Scaling","000c25f0","2dtable "
"Front_Oxygen_Sensor_Scaling_A_table","000c25fc","2dtable "
"Front_Oxygen_Sensor_Scaling_B_table","000c2608","2dtable "
"Ignition_Dwell","000c2644","3dtable "
"P1109_IAT_2dmtable_000c2918","000c2918","addr LAB_00090800"
"Intake_AVCS_Unknown_ECT_E","000c2a0c","2dmtable "
"Intake_Duty_Correction_AC_Adjust_B","000c2a34","2dmtable "
"Intake_Duty_Correction_AC_Adjust_A","000c2a48","2dmtable "
"Intake_Duty_Correction_BD_Adjust_B","000c2a5c","2dmtable "
"Intake_Duty_Correction_BD_Adjust_A","000c2a70","2dmtable "
"Intake_Duty_Correction_EF_Adjust","000c2a84","2dmtable "
"Intake_Duty_Correction_E_Adjust","000c2a98","2dmtable "
"Intake_Duty_Correction_F_Adjust","000c2aac","2dmtable "
"Exhaust_Duty_Correction_AC_Adjust_B","000c2ac0","2dmtable "
"Exhaust_Duty_Correction_AC_Adjust_A","000c2ad4","2dmtable "
